"Tidstämpel","Gender","Age","Employment","What do you exercise?","How often do you workout? (days a week)","How much time do you spend on each workout?","Do you workout with a partner?","Why do you workout?"
"2018/03/09 2:16:40 em CET","Male","15-19","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 2:16:45 em CET","Male","15-19","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 2:16:54 em CET","Male","35-39","IT/Tech/Engineering","Mix of exercises","5+","0-1 hours","No","Combination of above"
"2018/03/09 2:18:57 em CET","Female","20-24","Construction/Mechanic","Mix of exercises","1-2","0-1 hours","Yes","Combination of above"
"2018/03/09 2:21:22 em CET","Male","25-29","Student/Academics","Gym","3-4","0-1 hours","No","Enjoyment"
"2018/03/09 2:25:20 em CET","Female","20-24","Student/Academics","Mix of exercises","3-4","0-1 hours","No","Combination of above"
"2018/03/09 2:29:21 em CET","Male","35-39","Student/Academics","Mix of exercises","3-4","0-1 hours","No","Combination of above"
"2018/03/09 2:32:21 em CET","Male","25-29","Student/Academics","I don't workout","0","0-1 hours","Yes","Apperance"
"2018/03/09 2:43:55 em CET","Female","30-34","Other","Other","5+","1-2 hours","No","Health"
"2018/03/09 2:44:40 em CET","Male","35-39","Unemployed","Gym","1-2","1-2 hours","Yes","Health"
"2018/03/09 2:46:41 em CET","Female","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 2:47:51 em CET","Female","20-24","Student/Academics","Gym","3-4","1-2 hours","Yes","Health"
"2018/03/09 3:02:38 em CET","Female","20-24","Student/Academics","Fitness classes (e.g. spinning, yoga, bodypump)","1-2","1-2 hours","No","Health"
"2018/03/09 3:03:26 em CET","Female","25-29","IT/Tech/Engineering","Gym","5+","1-2 hours","No","Enjoyment"
"2018/03/09 3:24:32 em CET","Female","35-39","IT/Tech/Engineering","Running","1-2","0-1 hours","No","Health"
"2018/03/09 3:32:54 em CET","Female","20-24","Student/Academics","Other","1-2","0-1 hours","No","Combination of above"
"2018/03/09 3:38:51 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
